ID,vreme,domaci,gosti,W1,W2
Topbet33,2025-06-26 23:30:00,CA Tigre,CA Banfield,1.31,2.45
Superbet60,2025-06-26 23:30:00,CA Tigre,CA Banfield,1.62,2.12
Balkan32,2025-06-26 23:30:00,CA Tigre,CA Banfield,1.85,1.85
Volcano757,2025-06-26 23:30:00,CA Tigre,Banfield,1.69,2.0
Betole33,2025-06-26 23:30:00,Tigre,Banfield,1.71,1.97
Pinbet29,2025-06-26 23:30:00,Tigre,Banfield,1.72,1.99
Oktagon33,2025-06-26 23:30:00,Tigre,Banfield,1.7,1.92
Mystake483,2025-06-26 23:30:00,CA Tigre,Banfield,1.65,2.15
Mozzart29,2025-06-26 23:30:00,Tigre,Banfield,1.6,2.08
Soccer34,2025-06-26 23:30:00,Tigre,Banfield,1.61,1.91
