ID,vreme,domaci,gosti,G II 0-1,G II 2+
Mozzart136,2025-07-12 15:00:00,Brora,Kilmarnock,1.9,1.8
Balkan133,2025-07-12 15:00:00,Brora Rangers,Kilmarnock FC,1.55,2.05
Topbet117,2025-07-12 15:00:00,Brora Rangers,Kilmarnock FC,1.7,2.05
Pinbet109,2025-07-12 15:00:00,Brora Rangers,Kilmarnock,1.0,1.0
Volcano103,2025-07-12 15:00:00,Brora Rangers,Kilmarnock,1.0,1.0
Superbet215,2025-07-12 15:00:00,Brora Rangers,Kilmarnock,1.0,1.0
Mystake280,2025-07-12 15:00:00,Brora Rangers,Kilmarnock,1.0,1.0
Betole230,2025-07-12 15:00:00,Brora Rangers,Kilmarnock,1.57,2.2
Soccer134,2025-07-12 15:00:00,Brora Rangers,Kilmarnock,1.65,2.1
Oktagon230,2025-07-12 15:00:00,Brora Rangers,Kilmarnock,1.56,2.2
