ID,vreme,domaci,gosti,GG,NG
Volcano234,2025-06-27 02:00:00,w/USA,w/Ireland,3.9,1.18
Pinbet38,2025-06-27 02:00:00,USA W,Ireland W,3.8,1.2
Planetwin16,2025-06-27 02:00:00,USA (W),Ireland (W),3.31,1.26
Oktagon45,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,3.7,1.21
Betole46,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,3.8,1.2
Mozzart39,2025-06-27 02:00:00,USA W,Ireland Rep.W,2.65,1.42
Topbet43,2025-06-27 02:00:00,USA,Ireland,1.0,1.0
Mystake27,2025-06-27 02:00:00,USA W.,Ireland W.,1.0,1.0
Balkan43,2025-06-27 02:00:00,USA,Ireland,2.8,1.34
Soccer45,2025-06-27 02:00:00,USA Wom.,Ireland Wom.,3.1,1.32
