ID,vreme,domaci,gosti,ug 0-3,ug 4+
Balkan161,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power FC,1.6,2.1
Volcano30,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power,1.0,1.0
Oktagon174,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power,1.73,1.96
Soccer129,2025-07-12 08:15:00,Gold Coast Knights,Peninsula,1.73,2.0
Mozzart112,2025-07-12 08:15:00,Gold Coust Knights,Peninsula,1.69,1.92
Pinbet128,2025-07-12 08:15:00,Gold Coast Knights,Peninsula,1.75,1.97
Topbet115,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power FC,1.96,1.79
Superbet161,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power,1.0,1.0
Mystake531,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power,1.0,1.0
Planetwin39,2025-07-12 08:15:00,Gold Coast Kn.,Peninsula,1.73,1.96
Betole175,2025-07-12 08:15:00,Gold Coast Knights,Peninsula Power,1.73,1.95
