ID,vreme,domaci,gosti,D I 0-1,D I 2+
Betole245,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.3,3.2
Balkan151,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping FK,1.33,2.9
Topbet121,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping FK,1.4,3.05
Mystake98,2025-07-12 16:30:00,Malmo,Norrkoping,1.0,1.0
Soccer148,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.33,3.0
Superbet235,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.0,1.0
Mozzart141,2025-07-12 16:30:00,Malmo,Norrkoping,1.33,3.05
Pinbet122,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.0,1.0
Volcano761,2025-07-12 16:30:00,Malmö FF,IFK Norrköping,1.0,1.0
Oktagon246,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping,1.22,3.75
